[2024-04-28 18:36:31.648] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 251ns
[2024-04-28 18:36:31.648] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 162ns
[2024-04-28 18:36:31.649] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 250ns
[2024-04-28 18:36:31.649] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 181ns
[2024-04-28 18:36:31.650] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 247ns
[2024-04-28 18:36:31.650] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 202ns
[2024-04-28 18:36:31.650] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 143ns
[2024-04-28 18:36:31.650] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 198ns
[2024-04-28 18:36:32.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:32.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:32.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 259ns
[2024-04-28 18:36:32.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:32.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:32.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:32.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 231ns
[2024-04-28 18:36:32.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 575ns
[2024-04-28 18:36:32.645] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 164ns
[2024-04-28 18:36:32.645] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 83ns
[2024-04-28 18:36:32.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 208ns
[2024-04-28 18:36:32.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:32.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 218ns
[2024-04-28 18:36:32.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:32.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:32.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 323ns
[2024-04-28 18:36:32.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 294ns
[2024-04-28 18:36:32.646] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 494ns
[2024-04-28 18:36:32.646] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 181ns
[2024-04-28 18:36:32.646] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 322ns
[2024-04-28 18:36:32.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 250ns
[2024-04-28 18:36:32.647] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 176ns
[2024-04-28 18:36:32.647] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 280ns
[2024-04-28 18:36:32.647] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 94ns
[2024-04-28 18:36:32.648] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 283ns
[2024-04-28 18:36:32.648] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 103ns
[2024-04-28 18:36:32.648] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 284ns
[2024-04-28 18:36:32.649] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 117ns
[2024-04-28 18:36:32.649] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 309ns
[2024-04-28 18:36:32.649] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 86ns
[2024-04-28 18:36:32.650] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 273ns
[2024-04-28 18:36:32.650] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 142ns
[2024-04-28 18:36:33.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:33.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:33.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 254ns
[2024-04-28 18:36:33.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 200ns
[2024-04-28 18:36:33.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:33.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 167ns
[2024-04-28 18:36:33.645] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 154ns
[2024-04-28 18:36:33.645] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 104ns
[2024-04-28 18:36:33.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
